district_name,state_id,createdby,lastmodifiedby,createddate,lastmodifieddate
Kamrup,3,admin@admin.com,,,
Kamrup Metropolitan,3,admin@admin.com,,,
Karbi Anglong,3,admin@admin.com,,,
Karimganj,3,admin@admin.com,,,
Kokrajhar,3,admin@admin.com,,,
Lakhimpur,3,admin@admin.com,,,
Majuli,3,admin@admin.com,,,
Morigaon,3,admin@admin.com,,,
Nagaon,3,admin@admin.com,,,
Nalbari,3,admin@admin.com,,,
Sivasagar,3,admin@admin.com,,,
Sonitpur,3,admin@admin.com,,,
South Salmara-Mankachar,3,admin@admin.com,,,
Tamulpur,3,admin@admin.com,,,
Tinsukia,3,admin@admin.com,,,
Udalguri,3,admin@admin.com,,,
West Karbi Anglong,3,admin@admin.com,,,
Araria,4,admin@admin.com,,,
Arwal,4,admin@admin.com,,,
Aurangabad,4,admin@admin.com,,,
Banka,4,admin@admin.com,,,
Begusarai,4,admin@admin.com,,,
Bhagalpur,4,admin@admin.com,,,
Bhojpur,4,admin@admin.com,,,
Buxar,4,admin@admin.com,,,
Darbhanga,4,admin@admin.com,,,
East Champaran,4,admin@admin.com,,,
Gaya,4,admin@admin.com,,,
Gopalganj,4,admin@admin.com,,,
Jamui,4,admin@admin.com,,,
Jehanabad,4,admin@admin.com,,,
Kaimur,4,admin@admin.com,,,
Katihar,4,admin@admin.com,,,
Khagaria,4,admin@admin.com,,,
Kishanganj,4,admin@admin.com,,,
Lakhisarai,4,admin@admin.com,,,
Madhepura,4,admin@admin.com,,,
Madhubani,4,admin@admin.com,,,
Munger,4,admin@admin.com,,,
Muzaffarpur,4,admin@admin.com,,,
Nalanda,4,admin@admin.com,,,
Nawada,4,admin@admin.com,,,
Patna,4,admin@admin.com,,,
Purnia,4,admin@admin.com,,,
Rohtas,4,admin@admin.com,,,
Saharsa,4,admin@admin.com,,,
Samastipur,4,admin@admin.com,,,
Saran,4,admin@admin.com,,,
Sheikhpura,4,admin@admin.com,,,
Sheohar,4,admin@admin.com,,,
Sitamarhi,4,admin@admin.com,,,
Siwan,4,admin@admin.com,,,
Supaul,4,admin@admin.com,,,
Vaishali,4,admin@admin.com,,,
West Champaran,4,admin@admin.com,,,
Balod,5,admin@admin.com,,,
Baloda Bazar,5,admin@admin.com,,,
Balrampur Ramanujganj,5,admin@admin.com,,,
Bastar,5,admin@admin.com,,,
Bemetara,5,admin@admin.com,,,
Bijapur,5,admin@admin.com,,,
Bilaspur,5,admin@admin.com,,,
Dantewada,5,admin@admin.com,,,
Dhamtari,5,admin@admin.com,,,
Durg,5,admin@admin.com,,,
Gariaband,5,admin@admin.com,,,
Gaurela Pendra Marwahi,5,admin@admin.com,,,
Janjgir Champa,5,admin@admin.com,,,
Jashpur,5,admin@admin.com,,,
Kabirdham,5,admin@admin.com,,,
Kanker,5,admin@admin.com,,,
Khairagarh,5,admin@admin.com,,,
Kondagaon,5,admin@admin.com,,,
Korba,5,admin@admin.com,,,
Koriya,5,admin@admin.com,,,
Mahasamund,5,admin@admin.com,,,
Manendragarh,5,admin@admin.com,,,
Mohla Manpur,5,admin@admin.com,,,
Mungeli,5,admin@admin.com,,,
Narayanpur,5,admin@admin.com,,,
Raigarh,5,admin@admin.com,,,
Raipur,5,admin@admin.com,,,
Rajnandgaon,5,admin@admin.com,,,
Sakti,5,admin@admin.com,,,
Sarangarh Bilaigarh,5,admin@admin.com,,,
Sukma,5,admin@admin.com,,,
Surajpur,5,admin@admin.com,,,
Surguja,5,admin@admin.com,,,
North Goa,6,admin@admin.com,,,
South Goa,6,admin@admin.com,,,
Ahmedabad,7,admin@admin.com,,,
Amreli,7,admin@admin.com,,,
Anand,7,admin@admin.com,,,
Aravalli,7,admin@admin.com,,,
Banaskantha,7,admin@admin.com,,,
Bharuch,7,admin@admin.com,,,
Bhavnagar,7,admin@admin.com,,,
Botad,7,admin@admin.com,,,
Chhota Udaipur,7,admin@admin.com,,,
Dahod,7,admin@admin.com,,,
Dang,7,admin@admin.com,,,
Devbhoomi Dwarka,7,admin@admin.com,,,
Gandhinagar,7,admin@admin.com,,,
Gir Somnath,7,admin@admin.com,,,
Jamnagar,7,admin@admin.com,,,
Junagadh,7,admin@admin.com,,,
Kheda,7,admin@admin.com,,,
Kutch,7,admin@admin.com,,,
Mahisagar,7,admin@admin.com,,,
 Mehsana,7,admin@admin.com,,,
Morbi,7,admin@admin.com,,,
Narmada,7,admin@admin.com,,,
Navsari,7,admin@admin.com,,,
Panchmahal,7,admin@admin.com,,,
Patan,7,admin@admin.com,,,
Porbandar,7,admin@admin.com,,,
Rajkot,7,admin@admin.com,,,
Sabarkantha,7,admin@admin.com,,,
Surat,7,admin@admin.com,,,
Surendranagar,7,admin@admin.com,,,
Tapi,7,admin@admin.com,,,
Vadodara,7,admin@admin.com,,,
Valsad,7,admin@admin.com,,,
Ambala,8,admin@admin.com,,,
Bhiwani,8,admin@admin.com,,,
Charkhi Dadri,8,admin@admin.com,,,
Faridabad,8,admin@admin.com,,,
Fatehabad,8,admin@admin.com,,,
Gurugram ,8,admin@admin.com,,,
Hisar,8,admin@admin.com,,,
Jhajjar,8,admin@admin.com,,,
Jind,8,admin@admin.com,,,
Kaithal,8,admin@admin.com,,,
Karnal,8,admin@admin.com,,,
Kurukshetra,8,admin@admin.com,,,
Mahendragarh,8,admin@admin.com,,,
Mewat,8,admin@admin.com,,,
Palwal,8,admin@admin.com,,,
Panchkula,8,admin@admin.com,,,
Panipat,8,admin@admin.com,,,
Rewari,8,admin@admin.com,,,
Rohtak,8,admin@admin.com,,,
Sirsa,8,admin@admin.com,,,
Sonipat,8,admin@admin.com,,,
Yamunanagar,8,admin@admin.com,,,
Bilaspur,9,admin@admin.com,,,
Chamba,9,admin@admin.com,,,
Hamirpur,9,admin@admin.com,,,
Kangra,9,admin@admin.com,,,
Kinnaur,9,admin@admin.com,,,
Kullu,9,admin@admin.com,,,
Lahaul Spiti,9,admin@admin.com,,,
Mandi,9,admin@admin.com,,,
Shimla,9,admin@admin.com,,,
Sirmaur,9,admin@admin.com,,,
Solan,9,admin@admin.com,,,
Una,9,admin@admin.com,,,
Anantnag,10,admin@admin.com,,,
Bandipora,10,admin@admin.com,,,
Baramulla,10,admin@admin.com,,,
Budgam,10,admin@admin.com,,,
Doda,10,admin@admin.com,,,
Ganderbal,10,admin@admin.com,,,
Jammu,10,admin@admin.com,,,
Kathua,10,admin@admin.com,,,
Kishtwar,10,admin@admin.com,,,
Kulgam,10,admin@admin.com,,,
Kupwara,10,admin@admin.com,,,
Poonch,10,admin@admin.com,,,
Pulwama,10,admin@admin.com,,,
Rajouri,10,admin@admin.com,,,
Ramban,10,admin@admin.com,,,
Reasi,10,admin@admin.com,,,
Samba,10,admin@admin.com,,,
Shopian,10,admin@admin.com,,,
Srinagar,10,admin@admin.com,,,
Udhampur,10,admin@admin.com,,,
Bokaro,11,admin@admin.com,,,
Chatra,11,admin@admin.com,,,
Deoghar,11,admin@admin.com,,,
Dhanbad,11,admin@admin.com,,,
Dumka,11,admin@admin.com,,,
East Singhbhum,11,admin@admin.com,,,
Garhwa,11,admin@admin.com,,,
Giridih,11,admin@admin.com,,,
Godda,11,admin@admin.com,,,
Gumla,11,admin@admin.com,,,
Hazaribagh,11,admin@admin.com,,,
Jamtara,11,admin@admin.com,,,
Khunti,11,,,,
Koderma,11,,,,
Latehar,11,,,,
Lohardaga,11,,,,
Pakur,11,,,,
Palamu,11,,,,
Ramgarh,11,,,,
Ranchi,11,,,,
Sahebganj,11,,,,
Seraikela Kharsawan,11,,,,
Simdega,11,,,,
West Singhbhum,11,,,,
Karnataka,12,,,,
Bagalkot,12,,,,
Bangalore,12,,,,
Bangalore,12,,,,
Belgaum,12,,,,
Bellary,12,,,,
Bidar,12,,,,
Chamarajanagar,12,,,,
Chikkaballapur,12,,,,
Chikkamagaluru,12,,,,
Chitradurga,12,,,,
Dakshina,12,,,,
Davanagere,12,,,,
Dharwad,12,,,,
Gadag,12,,,,
Kalaburagi,12,,,,
Hassan,12,,,,
Haveri,12,,,,
Kodagu,12,,,,
Kolar,12,,,,
Koppal,12,,,,
Mandya,12,,,,
Mysore,12,,,,
Raichur,12,,,,
Ramanagara,12,,,,
Shimoga,12,,,,
Tumkur,12,,,,
Udupi,12,,,,
Uttara,12,,,,
Vijayanagara,12,,,,
Yadgir,12,,,,
Alappuzha,13,,,,
Ernakulam,13,,,,
Idukki,13,,,,
Kannur,13,,,,
Kasaragod,13,,,,
Kollam,13,,,,
Kottayam,13,,,,
Kozhikode,13,,,,
Malappuram,13,,,,
Palakkad,13,,,,
Pathanamthitta,13,,,,
Thiruvananthapuram,13,,,,
Thrissur,13,,,,
Wayanad,13,,,,
Agar,14,,,,
Alirajpur,14,,,,
Anuppur,14,,,,
Ashoknagar,14,,,,
Balaghat,14,,,,
Barwani,14,,,,
Betul,14,,,,
Bhind,14,,,,
Bhopal,14,,,,
Burhanpur,14,,,,
Chachaura,14,,,,
Chhatarpur,14,,,,
Chhindwara,14,,,,
Damoh,14,,,,
Datia,14,,,,
Dewas,14,,,,
Dhar,14,,,,
Dindori,14,,,,
Guna,14,,,,
Gwalior,14,,,,
Harda,14,,,,
Hoshangabad,14,,,,
Indore,14,,,,
Jabalpur,14,,,,
Jhabua,14,,,,
Katni,14,,,,
Khandwa,14,,,,
Khargone,14,,,,
Maihar,14,,,,
Mandsaur,14,,,,
Morena,14,,,,
Nagda,14,,,,
Narsinghpur,14,,,,
Neemuch,14,,,,
Niwari,14,,,,
Panna,14,,,,
Raisen,14,,,,
Rajgarh,14,,,,
Rewa,14,,,,
Sagar,14,,,,
Satna,14,,,,
Sehore,14,,,,
Seoni,14,,,,
Shahdol,14,,,,
Shajapur,14,,,,
Sheopur,14,,,,
Shivpuri,14,,,,
Singrauli,14,,,,
Tikamgarh,14,,,,
Ujjain,14,,,,
Umaria,14,,,,
Vidisha,14,,,,
Ahmednagar,15,,,,
Akola,15,,,,
Amravati,15,,,,
Aurangabad,15,,,,
Beed,15,,,,
Bhandara,15,,,,
Buldhana,15,,,,
Chandrapur,15,,,,
Dhule,15,,,,
Gadchiroli,15,,,,
Gondia,15,,,,
Hingoli,15,,,,
Jalgaon,15,,,,
Jalna,15,,,,
Kolhapur,15,,,,
Latur,15,,,,
Mumbai,15,,,,
Mumbai,15,,,,
Nagpur,15,,,,
Nanded,15,,,,
Nandurbar,15,,,,
Nashik,15,,,,
Osmanabad,15,,,,
Palghar,15,,,,
Parbhani,15,,,,
Pune,15,,,,
Raigad,15,,,,
Ratnagiri,15,,,,
Sangli,15,,,,
Sindhudurg,15,,,,
Solapur,15,,,,
Thane,15,,,,
Wardha,15,,,,
Washim,15,,,,
Yavatmal,15,,,,
Bishnupur,16,,,,
Chandel,16,,,,
Churachandpur,16,,,,
Imphal,16,,,,
Imphal,16,,,,
Jiribam,16,,,,
Kakching,16,,,,
Kamjong,16,,,,
Kangpokpi,16,,,,
Noney,16,,,,
Pherzawl,16,,,,
Senapati,16,,,,
Tamenglong,16,,,,
Tengnoupal,16,,,,
Thoubal,16,,,,
Ukhrul,16,,,,
East Garo Hills,17,,,,
East Jaintia Hills,17,,,,
East Khasi Hills,17,,,,
Mairang (Eastern West Khasi Hills),17,,,,
North Garo Hills,17,,,,
Ri Bhoi,17,,,,
South Garo Hills,17,,,,
South West Garo Hills,17,,,,
South West Khasi Hills,17,,,,
West Garo Hills,17,,,,
West Jaintia Hills,17,,,,
West Khasi Hills,17,,,,
Aizawl,18,,,,
Champhai,18,,,,
Hnahthial,18,,,,
Khawzawl,18,,,,
Kolasib,18,,,,
Lawngtlai,18,,,,
Lunglei,18,,,,
Mamit,18,,,,
Saiha,18,,,,
Saitual,18,,,,
Serchhip,18,,,,
Chumukedima,19,,,,
Dimapur,19,,,,
Kiphire,19,,,,
Kohima,19,,,,
Longleng,19,,,,
Mokokchung,19,,,,
Mon,19,,,,
Niuland,19,,,,
Noklak,19,,,,
Peren,19,,,,
Phek,19,,,,
Shamator,19,,,,
Tseminyu,19,,,,
Tuensang,19,,,,
Wokha,19,,,,
Zunheboto,19,,,,
Angul,20,,,,
Balangir,20,,,,
Balasore,20,,,,
Bargarh,20,,,,
Bhadrak,20,,,,
Boudh,20,,,,
Cuttack,20,,,,
Debagarh,20,,,,
Dhenkanal,20,,,,
Gajapati,20,,,,
Ganjam,20,,,,
Jagatsinghpur,20,,,,
Jajpur,20,,,,
Jharsuguda,20,,,,
Kalahandi,20,,,,
Kandhamal,20,,,,
Kendrapara,20,,,,
Kendujhar,20,,,,
Khordha,20,,,,
Koraput,20,,,,
Malkangiri,20,,,,
Mayurbhanj,20,,,,
Nabarangpur,20,,,,
Nayagarh,20,,,,
Nuapada,20,,,,
Puri,20,,,,
Rayagada,20,,,,
Sambalpur,20,,,,
Subarnapur,20,,,,
Amritsar,21,,,,
Barnala,21,,,,
Bathinda,21,,,,
Faridkot,21,,,,
Fatehgarh,21,,,,
Fazilka,21,,,,
Firozpur,21,,,,
Gurdaspur,21,,,,
Hoshiarpur,21,,,,
Jalandhar,21,,,,
Kapurthala,21,,,,
Ludhiana,21,,,,
Malerkotla ,21,,,,
Mansa,21,,,,
Moga,21,,,,
Mohali,21,,,,
Muktsar,21,,,,
Pathankot,21,,,,
Patiala,21,,,,
Rupnagar,21,,,,
Sangrur,21,,,,
Shaheed,21,,,,
Tarn,21,,,,
Ajmer,22,,,,
Alwar,22,,,,
Banswara,22,,,,
Baran,22,,,,
Barmer,22,,,,
Bharatpur,22,,,,
Bhilwara,22,,,,
Bikaner,22,,,,
Bundi,22,,,,
Chittorgarh,22,,,,
Churu,22,,,,
Dausa,22,,,,
Dholpur,22,,,,
Dungarpur,22,,,,
Sri,22,,,,
Hanumangarh,22,,,,
Jaipur,22,,,,
Jaisalmer,22,,,,
Jalore,22,,,,
Jhalawar,22,,,,
Jhunjhunu,22,,,,
Jodhpur,22,,,,
Karauli,22,,,,
Kota,22,,,,
Nagaur,22,,,,
Pali,22,,,,
Pratapgarh,22,,,,
Rajsamand,22,,,,
Sawai,22,,,,
Sirohi,22,,,,
Tonk,22,,,,
Udaipur,22,,,,
East Sikkim,23,,,,
North Sikkim,23,,,,
Pakyong,23,,,,
Soreng,23,,,,
South Sikkim,23,,,,
West Sikkim,23,,,,
Ariyalur,24,,,,
Chengalpattu,24,,,,
Chennai,24,,,,
Coimbatore,24,,,,
Cuddalore,24,,,,
Dharmapuri,24,,,,
Dindigul,24,,,,
Erode,24,,,,
Kallakurichi,24,,,,
Kanchipuram,24,,,,
Kanyakumari,24,,,,
Karur,24,,,,
Krishnagiri,24,,,,
Madurai,24,,,,
Mayiladuthurai,24,,,,
Nagapattinam,24,,,,
Namakkal,24,,,,
Nilgiris,24,,,,
Perambalur,24,,,,
Pudukkottai,24,,,,
Ramanathapuram,24,,,,
Ranipet,24,,,,
Salem,24,,,,
Sivaganga,24,,,,
Tenkasi,24,,,,
Thanjavur,24,,,,
Theni,24,,,,
Thoothukudi,24,,,,
Tiruchirappalli,24,,,,
Tirupattur,24,,,,
Tiruppur,24,,,,
Tiruvallur,24,,,,
Tiruvannamalai,24,,,,
Tiruvarur,24,,,,
Vellore,24,,,,
Viluppuram,24,,,,
Virudhunagar,24,,,,
Adilabad,25,,,,
Bhadradri,25,,,,
Hyderabad,25,,,,
Jagtial,25,,,,
Jangaon,25,,,,
Jayashankar,25,,,,
Jogulamba,25,,,,
Kamareddy,25,,,,
Karimnagar,25,,,,
Khammam,25,,,,
Komaram,25,,,,
Mahabubabad,25,,,,
Mahbubnagar,25,,,,
Mancherial,25,,,,
Medak,25,,,,
Medchal,25,,,,
Mulugu,25,,,,
Nagarkurnool,25,,,,
Nalgonda,25,,,,
Narayanpet,25,,,,
Nirmal,25,,,,
Nizamabad,25,,,,
Peddapalli,25,,,,
Rajanna,25,,,,
Ranga,25,,,,
Sangareddy,25,,,,
Siddipet,25,,,,
Suryapet,25,,,,
Vikarabad,25,,,,
Dhalai,26,,,,
Gomati,26,,,,
Khowai,26,,,,
North Tripura,26,,,,
Sepahijala,26,,,,
South Tripura,26,,,,
Unakoti,26,,,,
West Tripura,26,,,,
Agra,27,,,,
Aligarh,27,,,,
Prayagraj,27,,,,
Ambedkar Nagar,27,,,,
Amethi,27,,,,
Amroha,27,,,,
Auraiya,27,,,,
Azamgarh,27,,,,
Baghpat,27,,,,
Bahraich,27,,,,
Ballia,27,,,,
Balrampur,27,,,,
Banda,27,,,,
Barabanki,27,,,,
Bareilly,27,,,,
Basti,27,,,,
Bhadohi,27,,,,
Bijnor,27,,,,
Budaun,27,,,,
Bulandshahr,27,,,,
Chandauli,27,,,,
Chitrakoot,27,,,,
Deoria,27,,,,
Etah,27,,,,
Etawah,27,,,,
Ayodhya,27,,,,
Farrukhabad,27,,,,
Fatehpur,27,,,,
Firozabad,27,,,,
Gautam Buddha Nagar,27,,,,
Ghaziabad,27,,,,
Ghazipur,27,,,,
Gonda,27,,,,
Gorakhpur,27,,,,
Hamirpur,27,,,,
Hapur,27,,,,
Hardoi,27,,,,
Hathras,27,,,,
Jalaun,27,,,,
Jaunpur,27,,,,
Jhansi,27,,,,
Kannauj,27,,,,
Kanpur Dehat,27,,,,
Kanpur Nagar,27,,,,
Kasganj,27,,,,
Kaushambi,27,,,,
Kheri,27,,,,
Kushinagar,27,,,,
Lalitpur,27,,,,
Lucknow,27,,,,
Maharajganj,27,,,,
Mahoba,27,,,,
Mainpuri,27,,,,
Mathura,27,,,,
Mau,27,,,,
Meerut,27,,,,
Mirzapur,27,,,,
Moradabad,27,,,,
Muzaffarnagar,27,,,,
Pilibhit,27,,,,
Pratapgarh,27,,,,
Raebareli,27,,,,
Rampur,27,,,,
Saharanpur,27,,,,
Sambhal,27,,,,
Sant Kabir Nagar,27,,,,
Shahjahanpur,27,,,,
Shamli,27,,,,
Shravasti,27,,,,
Siddharthnagar,27,,,,
Sitapur,27,,,,
Sonbhadra,27,,,,
Sultanpur,27,,,,
Unnao,27,,,,
Varanasi,27,,,,
Almora,28,,,,
Bageshwar,28,,,,
Chamoli,28,,,,
Champawat,28,,,,
Dehradun,28,,,,
Haridwar,28,,,,
Nainital,28,,,,
Pauri,28,,,,
Pithoragarh,28,,,,
Rudraprayag,28,,,,
Tehri,28,,,,
Udham Singh Nagar,28,,,,
Uttarkashi,28,,,,
Alipurduar,29,,,,
Bankura,29,,,,
Birbhum,29,,,,
Cooch Behar,29,,,,
Dakshin Dinajpur,29,,,,
Darjeeling,29,,,,
Hooghly,29,,,,
Howrah,29,,,,
Jalpaiguri,29,,,,
Jhargram,29,,,,
Kalimpong,29,,,,
Kolkata,29,,,,
Malda,29,,,,
Murshidabad,29,,,,
Nadia,29,,,,
North 24 Parganas,29,,,,
Paschim Bardhaman,29,,,,
Paschim Medinipur,29,,,,
Purba Bardhaman,29,,,,
Purba Medinipur,29,,,,
Purulia,29,,,,
South 24 Parganas,29,,,,
Uttar Dinajpur,29,,,,
Nicobar,30,,,,
North Middle Andaman,30,,,,
South Andaman,30,,,,
Chandigarh,31,,,,
Dadra and Nagar Haveli,32,,,,
Daman,32,,,,
Diu,32,,,,
Central Delhi,33,,,,
East Delhi,33,,,,
New Delhi,33,,,,
North Delhi,33,,,,
North East Delhi,33,,,,
North West Delhi,33,,,,
Shahdara,33,,,,
South Delhi,33,,,,
South East Delhi,33,,,,
South West Delhi,33,,,,
West Delhi,33,,,,
Lakshadweep,34,,,,
Kargil,35,,,,
Leh,35,,,,
Karaikal,36,,,,
Mahe,36,,,,
Puducherry,36,,,,
Yanam,36,,,,
